dataset,model,gene,pearson,css
Breast Visium CID44971,novosparc,arpc3,0.2410916923968832,0.8588243663275001
Breast Visium CID44971,novosparc,pdgfa,0.2406300602429377,0.48734274610279293
Breast Visium CID44971,novosparc,ciita,0.2406284824579449,0.4345499664637996
Breast Visium CID44971,novosparc,syngr2,0.2402531170568978,0.7957477620999671
Breast Visium CID44971,novosparc,vps29,0.2400703882225681,0.7193928580494774
Breast Visium CID44971,novosparc,irf8,0.2394180540036457,0.43833124828800796
Breast Visium CID44971,novosparc,aoah,0.2390610171226565,0.4101582016740739
Breast Visium CID44971,novosparc,sf3b5,0.235404870506327,0.7839050078547427
Breast Visium CID44971,novosparc,lat2,0.2346784292494139,0.3791950828986985
Breast Visium CID44971,novosparc,mcam,0.2322306213516331,0.40824130331242287
Breast Visium CID44971,novosparc,mfge8,0.228000231054803,0.6949009457325626
Breast Visium CID44971,novosparc,mki67,0.227595428197946,0.41700612996389497
Breast Visium CID44971,novosparc,plvap,0.2256148671895066,0.3598593250820606
Breast Visium CID44971,novosparc,emp1,0.2245896802948924,0.46170054835448976
Breast Visium CID44971,novosparc,tram1,0.2239819031944256,0.7687813332541109
Breast Visium CID44971,novosparc,slc2a3,0.2235643164203432,0.42586833438931254
Breast Visium CID44971,novosparc,maob,0.2167982065849389,0.40066514359390176
Breast Visium CID44971,novosparc,rnase4,0.2166733492602349,0.3907799832841817
Breast Visium CID44971,novosparc,slc38a10,0.2155168307203197,0.609621965402253
Breast Visium CID44971,novosparc,herpud1,0.2150893563012057,0.7323493895560401
Breast Visium CID44971,novosparc,tmem160,0.215088447522351,0.734812259814649
Breast Visium CID44971,novosparc,nusap1,0.2144629139378742,0.3993766299092594
Breast Visium CID44971,novosparc,flt1,0.2133997625700626,0.29279146338012374
Breast Visium CID44971,novosparc,clec2b,0.211692856159849,0.45697217720679734
Breast Visium CID44971,novosparc,krt8,0.2115888942594843,0.6286299960471655
Breast Visium CID44971,novosparc,uba2,0.2112090277879512,0.6604648460635036
Breast Visium CID44971,novosparc,fbp1,0.2092237862551045,0.3601902532768251
Breast Visium CID44971,novosparc,tpm1,0.2083848671430921,0.6939144482048425
Breast Visium CID44971,novosparc,tmed2,0.2063990036956511,0.8184863660020937
Breast Visium CID44971,novosparc,stard10,0.2061963697369373,0.5566547559852357
Breast Visium CID44971,novosparc,socs3,0.2050006562939247,0.47677362096166664
Breast Visium CID44971,novosparc,hck,0.2038714438668775,0.3056493180037275
Breast Visium CID44971,novosparc,acta2,0.2038351142764271,0.8118066319785778
Breast Visium CID44971,novosparc,rab4a,0.2018169769843914,0.6210657012882967
Breast Visium CID44971,novosparc,perp,0.1971705546226207,0.684574040072651
Breast Visium CID44971,novosparc,epas1,0.194736822316945,0.3942732743809519
Breast Visium CID44971,novosparc,psmc3,0.1934840453273986,0.7225454639230314
Breast Visium CID44971,novosparc,tfeb,0.1933919047072345,0.3841975473878059
Breast Visium CID44971,novosparc,rps11,0.1882376935320654,0.9894062627526475
Breast Visium CID44971,novosparc,rbbp8,0.1858632647753463,0.505126569615018
Breast Visium CID44971,novosparc,tmem176b,0.1855866568275852,0.43627430438849396
Breast Visium CID44971,novosparc,efemp2,0.1838675063991242,0.3584489081693367
Breast Visium CID44971,novosparc,flnb,0.1796836146867149,0.6566129711356019
Breast Visium CID44971,novosparc,eomes,0.1782563987554727,0.3070271768110587
Breast Visium CID44971,novosparc,psmb8,0.1774341788237174,0.6507265187641003
Breast Visium CID44971,novosparc,ms4a1,0.1767011619610632,0.3206089722869581
Breast Visium CID44971,novosparc,adgrl4,0.1762132051075135,0.24845945665855448
Breast Visium CID44971,novosparc,tmbim6,0.1758415548316636,0.8924302327628176
