platform_group,dataset,model,metric,score,rank,relative_rank,model_count
spot_based,OSCC Sample 12,tangram,ssim,0.09929934863888723,4.0,0.6666666666666666,9
spot_based,OSCC Sample 12,spage,pearson,0.13237303676659246,2.0,0.8888888888888888,9
spot_based,OSCC Sample 12,spage,css,0.41822420655087233,6.0,0.4444444444444444,9
spot_based,OSCC Sample 12,spage,ssim,0.11430956667525273,1.0,1.0,9
spot_based,OSCC Sample 12,spaim,pearson,0.11817099814105828,5.0,0.5555555555555556,9
spot_based,OSCC Sample 12,spaim,css,0.5178935490254818,2.0,0.8888888888888888,9
spot_based,OSCC Sample 12,spaim,ssim,0.07425215106780828,6.0,0.4444444444444444,9
spot_based,OSCC Sample 12,stimpute,pearson,0.10641362759498212,6.0,0.4444444444444444,9
spot_based,OSCC Sample 12,stimpute,css,0.4751530403119814,4.0,0.6666666666666666,9
spot_based,OSCC Sample 12,stimpute,ssim,0.08753007917290345,5.0,0.5555555555555556,9
spot_based,OSCC Sample 12,cytospace,pearson,0.054214762435454394,9.0,0.1111111111111111,9
spot_based,OSCC Sample 12,cytospace,css,0.32111486475228274,9.0,0.1111111111111111,9
spot_based,OSCC Sample 12,cytospace,ssim,0.06674663811077948,8.0,0.2222222222222222,9
spot_based,OSCC Sample 12,seurat,pearson,0.07568777073212901,7.0,0.3333333333333333,9
spot_based,OSCC Sample 12,seurat,css,0.4157340284586676,7.0,0.3333333333333333,9
spot_based,OSCC Sample 12,seurat,ssim,0.06977364303584366,7.0,0.3333333333333333,9
spot_based,OSCC Sample 12,liger,pearson,0.06668829708325905,8.0,0.2222222222222222,9
spot_based,OSCC Sample 12,liger,css,0.36568678109039926,8.0,0.2222222222222222,9
spot_based,OSCC Sample 12,liger,ssim,0.06533474469261383,9.0,0.1111111111111111,9
spot_based,OSCC Sample 12,arcimpute,pearson,0.1712785961914429,1.0,1.0,9
spot_based,OSCC Sample 12,arcimpute,css,0.5256556255701776,1.0,1.0,9
spot_based,OSCC Sample 12,arcimpute,ssim,0.11152906227793158,2.0,0.8888888888888888,9
spot_based,Prostate Cancer FFPE,novosparc,pearson,0.2413647659270288,4.0,0.6666666666666666,9
spot_based,Prostate Cancer FFPE,novosparc,css,0.5860318531005125,5.0,0.5555555555555556,9
spot_based,Prostate Cancer FFPE,novosparc,ssim,0.1965804095800944,4.0,0.6666666666666666,9
spot_based,Prostate Cancer FFPE,tangram,pearson,0.2354193429590122,5.0,0.5555555555555556,9
spot_based,Prostate Cancer FFPE,tangram,css,0.6472614437609946,3.0,0.7777777777777778,9
spot_based,Prostate Cancer FFPE,tangram,ssim,0.19518030953192522,5.0,0.5555555555555556,9
spot_based,Prostate Cancer FFPE,spage,pearson,0.2563000899963486,2.0,0.8888888888888888,9
spot_based,Prostate Cancer FFPE,spage,css,0.5581959244856258,6.0,0.4444444444444444,9
spot_based,Prostate Cancer FFPE,spage,ssim,0.2283720865712972,2.0,0.8888888888888888,9
spot_based,Prostate Cancer FFPE,spaim,pearson,0.25425267625426423,3.0,0.7777777777777778,9
spot_based,Prostate Cancer FFPE,spaim,css,0.6589015544339166,2.0,0.8888888888888888,9
spot_based,Prostate Cancer FFPE,spaim,ssim,0.16911706983620323,7.0,0.3333333333333333,9
spot_based,Prostate Cancer FFPE,stimpute,pearson,0.20703022027427112,7.0,0.3333333333333333,9
spot_based,Prostate Cancer FFPE,stimpute,css,0.6178141006196354,4.0,0.6666666666666666,9
spot_based,Prostate Cancer FFPE,stimpute,ssim,0.18527704298093628,6.0,0.4444444444444444,9
spot_based,Prostate Cancer FFPE,cytospace,pearson,0.12331257384606598,9.0,0.1111111111111111,9
spot_based,Prostate Cancer FFPE,cytospace,css,0.36537653046674645,9.0,0.1111111111111111,9
spot_based,Prostate Cancer FFPE,cytospace,ssim,0.09078990478274115,9.0,0.1111111111111111,9
spot_based,Prostate Cancer FFPE,seurat,pearson,0.22775648981628668,6.0,0.4444444444444444,9
spot_based,Prostate Cancer FFPE,seurat,css,0.5553262489922736,7.0,0.3333333333333333,9
spot_based,Prostate Cancer FFPE,seurat,ssim,0.19922577875814657,3.0,0.7777777777777778,9
spot_based,Prostate Cancer FFPE,liger,pearson,0.18824963072206852,8.0,0.2222222222222222,9
spot_based,Prostate Cancer FFPE,liger,css,0.49326953765044895,8.0,0.2222222222222222,9
spot_based,Prostate Cancer FFPE,liger,ssim,0.16310144253765366,8.0,0.2222222222222222,9
spot_based,Prostate Cancer FFPE,arcimpute,pearson,0.3073457670662329,1.0,1.0,9
spot_based,Prostate Cancer FFPE,arcimpute,css,0.6713848918607149,1.0,1.0,9
spot_based,Prostate Cancer FFPE,arcimpute,ssim,0.23555135092108592,1.0,1.0,9
spot_based,Allen MERFISH Pseudospot,novosparc,pearson,0.35195072509958325,6.0,0.4444444444444444,9
spot_based,Allen MERFISH Pseudospot,novosparc,css,0.551371123679252,6.0,0.4444444444444444,9
spot_based,Allen MERFISH Pseudospot,novosparc,ssim,0.25529359039753896,6.0,0.4444444444444444,9
spot_based,Allen MERFISH Pseudospot,tangram,pearson,0.44024668610016787,2.0,0.8888888888888888,9
spot_based,Allen MERFISH Pseudospot,tangram,css,0.6534948989252249,2.0,0.8888888888888888,9
spot_based,Allen MERFISH Pseudospot,tangram,ssim,0.3414669794108098,2.0,0.8888888888888888,9
spot_based,Allen MERFISH Pseudospot,spage,pearson,0.36472679743205305,3.0,0.7777777777777778,9
spot_based,Allen MERFISH Pseudospot,spage,css,0.5344842358616492,7.0,0.3333333333333333,9
spot_based,Allen MERFISH Pseudospot,spage,ssim,0.2792229553242214,5.0,0.5555555555555556,9
spot_based,Allen MERFISH Pseudospot,spaim,pearson,0.30575331937919825,8.0,0.2222222222222222,9
spot_based,Allen MERFISH Pseudospot,spaim,css,0.6016400866210461,4.0,0.6666666666666666,9
spot_based,Allen MERFISH Pseudospot,spaim,ssim,0.2054259778233245,8.0,0.2222222222222222,9
spot_based,Allen MERFISH Pseudospot,stimpute,pearson,0.3564775125174092,5.0,0.5555555555555556,9
spot_based,Allen MERFISH Pseudospot,stimpute,css,0.6086031682844176,3.0,0.7777777777777778,9
spot_based,Allen MERFISH Pseudospot,stimpute,ssim,0.29063407837907657,4.0,0.6666666666666666,9
spot_based,Allen MERFISH Pseudospot,cytospace,pearson,0.25408124435111973,9.0,0.1111111111111111,9
spot_based,Allen MERFISH Pseudospot,cytospace,css,0.44748532330131713,9.0,0.1111111111111111,9
spot_based,Allen MERFISH Pseudospot,cytospace,ssim,0.17157936071095284,9.0,0.1111111111111111,9
spot_based,Allen MERFISH Pseudospot,seurat,pearson,0.3577996018542057,4.0,0.6666666666666666,9
spot_based,Allen MERFISH Pseudospot,seurat,css,0.5664365736852144,5.0,0.5555555555555556,9
spot_based,Allen MERFISH Pseudospot,seurat,ssim,0.29918478146120925,3.0,0.7777777777777778,9
spot_based,Allen MERFISH Pseudospot,liger,pearson,0.32972106910459786,7.0,0.3333333333333333,9
spot_based,Allen MERFISH Pseudospot,liger,css,0.5060538085953643,8.0,0.2222222222222222,9
spot_based,Allen MERFISH Pseudospot,liger,ssim,0.24742845379631034,7.0,0.3333333333333333,9
spot_based,Allen MERFISH Pseudospot,arcimpute,pearson,0.4878146450555468,1.0,1.0,9
spot_based,Allen MERFISH Pseudospot,arcimpute,css,0.6767574079831441,1.0,1.0,9
spot_based,Allen MERFISH Pseudospot,arcimpute,ssim,0.3846383161749691,1.0,1.0,9
spot_based,osmFISH Pseudospot,novosparc,pearson,0.2895985627976699,2.0,0.8888888888888888,9
spot_based,osmFISH Pseudospot,novosparc,css,0.8738570682013075,5.0,0.5555555555555556,9
spot_based,osmFISH Pseudospot,novosparc,ssim,0.21479811298450363,3.0,0.7777777777777778,9
spot_based,osmFISH Pseudospot,tangram,pearson,0.267058226976096,4.0,0.6666666666666666,9
spot_based,osmFISH Pseudospot,tangram,css,0.926696253488014,3.0,0.7777777777777778,9
spot_based,osmFISH Pseudospot,tangram,ssim,0.23369206908351503,2.0,0.8888888888888888,9
spot_based,osmFISH Pseudospot,spage,pearson,0.2887265275593984,3.0,0.7777777777777778,9
spot_based,osmFISH Pseudospot,spage,css,0.6483915733449565,6.0,0.4444444444444444,9
spot_based,osmFISH Pseudospot,spage,ssim,0.13424200877024212,6.0,0.4444444444444444,9
spot_based,osmFISH Pseudospot,spaim,pearson,0.1729811169922941,7.0,0.3333333333333333,9
spot_based,osmFISH Pseudospot,spaim,css,0.9522051287419868,1.0,1.0,9
spot_based,osmFISH Pseudospot,spaim,ssim,0.14474480549776644,5.0,0.5555555555555556,9
spot_based,osmFISH Pseudospot,stimpute,pearson,0.23205180719070354,5.0,0.5555555555555556,9
spot_based,osmFISH Pseudospot,stimpute,css,0.9500493282078786,2.0,0.8888888888888888,9
spot_based,osmFISH Pseudospot,stimpute,ssim,0.21428023395679047,4.0,0.6666666666666666,9
spot_based,osmFISH Pseudospot,cytospace,pearson,0.09736081092104466,9.0,0.1111111111111111,9
spot_based,osmFISH Pseudospot,cytospace,css,0.39198962363326567,9.0,0.1111111111111111,9
spot_based,osmFISH Pseudospot,cytospace,ssim,0.03090645863638645,9.0,0.1111111111111111,9
spot_based,osmFISH Pseudospot,seurat,pearson,0.1591655480111174,8.0,0.2222222222222222,9
spot_based,osmFISH Pseudospot,seurat,css,0.6107904881222826,8.0,0.2222222222222222,9
spot_based,osmFISH Pseudospot,seurat,ssim,0.07925056189834617,8.0,0.2222222222222222,9
spot_based,osmFISH Pseudospot,liger,pearson,0.2233990676831008,6.0,0.4444444444444444,9
spot_based,osmFISH Pseudospot,liger,css,0.6269345492465396,7.0,0.3333333333333333,9
spot_based,osmFISH Pseudospot,liger,ssim,0.10736635452278222,7.0,0.3333333333333333,9
spot_based,osmFISH Pseudospot,arcimpute,pearson,0.2923090849276779,1.0,1.0,9
spot_based,osmFISH Pseudospot,arcimpute,css,0.9052656229633973,4.0,0.6666666666666666,9
spot_based,osmFISH Pseudospot,arcimpute,ssim,0.2534446131328133,1.0,1.0,9
spot_based,SpaceTx ExSeq Pseudospot,novosparc,pearson,0.4331676398009072,5.0,0.5555555555555556,9
spot_based,SpaceTx ExSeq Pseudospot,novosparc,css,0.8089065306401446,5.0,0.5555555555555556,9
spot_based,SpaceTx ExSeq Pseudospot,novosparc,ssim,0.35542736230078403,5.0,0.5555555555555556,9
spot_based,SpaceTx ExSeq Pseudospot,tangram,pearson,0.46974563356671856,2.0,0.8888888888888888,9
spot_based,SpaceTx ExSeq Pseudospot,tangram,css,0.8530766978150323,3.0,0.7777777777777778,9
spot_based,SpaceTx ExSeq Pseudospot,tangram,ssim,0.425028613097744,2.0,0.8888888888888888,9
spot_based,SpaceTx ExSeq Pseudospot,spage,pearson,0.4427005485519895,3.0,0.7777777777777778,9
spot_based,SpaceTx ExSeq Pseudospot,spage,css,0.7308434902557305,6.0,0.4444444444444444,9
spot_based,SpaceTx ExSeq Pseudospot,spage,ssim,0.31973949343054775,7.0,0.3333333333333333,9
spot_based,SpaceTx ExSeq Pseudospot,spaim,pearson,0.4350818911239377,4.0,0.6666666666666666,9
spot_based,SpaceTx ExSeq Pseudospot,spaim,css,0.8733457057248979,2.0,0.8888888888888888,9
spot_based,SpaceTx ExSeq Pseudospot,spaim,ssim,0.36680209718733314,3.0,0.7777777777777778,9
spot_based,SpaceTx ExSeq Pseudospot,stimpute,pearson,0.39138513171514266,7.0,0.3333333333333333,9
spot_based,SpaceTx ExSeq Pseudospot,stimpute,css,0.8488966051660234,4.0,0.6666666666666666,9
spot_based,SpaceTx ExSeq Pseudospot,stimpute,ssim,0.3635126457370249,4.0,0.6666666666666666,9
spot_based,SpaceTx ExSeq Pseudospot,cytospace,pearson,0.33489661659822484,8.0,0.2222222222222222,9
spot_based,SpaceTx ExSeq Pseudospot,cytospace,css,0.6788434334553521,8.0,0.2222222222222222,9
spot_based,SpaceTx ExSeq Pseudospot,cytospace,ssim,0.2247959174104935,8.0,0.2222222222222222,9
spot_based,SpaceTx ExSeq Pseudospot,seurat,pearson,0.41840823062986005,6.0,0.4444444444444444,9
spot_based,SpaceTx ExSeq Pseudospot,seurat,css,0.7296362963176968,7.0,0.3333333333333333,9
spot_based,SpaceTx ExSeq Pseudospot,seurat,ssim,0.32832180278490614,6.0,0.4444444444444444,9
spot_based,SpaceTx ExSeq Pseudospot,liger,pearson,0.30152482453469837,9.0,0.1111111111111111,9
spot_based,SpaceTx ExSeq Pseudospot,liger,css,0.6513993316995246,9.0,0.1111111111111111,9
spot_based,SpaceTx ExSeq Pseudospot,liger,ssim,0.21837102871878805,9.0,0.1111111111111111,9
spot_based,SpaceTx ExSeq Pseudospot,arcimpute,pearson,0.5347654141939225,1.0,1.0,9
spot_based,SpaceTx ExSeq Pseudospot,arcimpute,css,0.8823125149522509,1.0,1.0,9
spot_based,SpaceTx ExSeq Pseudospot,arcimpute,ssim,0.47710183821618557,1.0,1.0,9
cell_resolved,Allen MERFISH,novosparc,pearson,0.3291578721025241,8.0,0.2222222222222222,9
cell_resolved,Allen MERFISH,novosparc,css,0.4194354862848303,8.0,0.2222222222222222,9
cell_resolved,Allen MERFISH,novosparc,ssim,0.22487613034012172,8.0,0.2222222222222222,9
cell_resolved,Allen MERFISH,tangram,pearson,0.3899669047647149,5.0,0.5555555555555556,9
cell_resolved,Allen MERFISH,tangram,css,0.4674991638585925,5.0,0.5555555555555556,9
cell_resolved,Allen MERFISH,tangram,ssim,0.2698626776474218,7.0,0.3333333333333333,9
cell_resolved,Allen MERFISH,spage,pearson,0.4159602776937884,4.0,0.6666666666666666,9
cell_resolved,Allen MERFISH,spage,css,0.48979055184250075,4.0,0.6666666666666666,9
cell_resolved,Allen MERFISH,spage,ssim,0.35099792265721286,1.0,1.0,9
cell_resolved,Allen MERFISH,spaim,pearson,0.33868533854915805,7.0,0.3333333333333333,9
cell_resolved,Allen MERFISH,spaim,css,0.43246370648344357,7.0,0.3333333333333333,9
cell_resolved,Allen MERFISH,spaim,ssim,0.2085148520100241,9.0,0.1111111111111111,9
cell_resolved,Allen MERFISH,stimpute,pearson,0.42475776908502716,2.0,0.8888888888888888,9
cell_resolved,Allen MERFISH,stimpute,css,0.4991205492988355,2.0,0.8888888888888888,9
cell_resolved,Allen MERFISH,stimpute,ssim,0.33920568650181354,3.0,0.7777777777777778,9
